city,settle_date,market,forecast_blurred,actual,lo,hi,p_model,p_market,edge,action,entry_price,pnl_per_contract,won_bet
NY,2026-05-11,KXHIGHNY-26MAY11-B68.5,61.6,62.7,68.5,69.5,0.0,0.26,-0.26,NO,0.76,0.23,True
NY,2026-05-12,KXHIGHNY-26MAY12-B66.5,66.53,68.2,66.5,67.5,0.112,0.49,-0.378,NO,0.53,0.45,True
NY,2026-05-13,KXHIGHNY-26MAY13-B70.5,73.16,76.5,70.5,71.5,0.068,0.48,-0.412,NO,0.54,0.44,True
NY,2026-05-13,KXHIGHNY-26MAY13-B72.5,73.16,76.5,72.5,73.5,0.145,0.4,-0.255,NO,0.62,0.36,True
NY,2026-05-13,KXHIGHNY-26MAY13-B66.5,73.16,76.5,66.5,67.5,0.035,0.13,-0.095,NO,0.89,0.1,True
NY,2026-05-13,KXHIGHNY-26MAY13-B68.5,73.16,76.5,68.5,69.5,0.074,0.17,-0.096,NO,0.85,0.14,True
NY,2026-05-14,KXHIGHNY-26MAY14-B69.5,61.34,66.3,69.5,70.5,0.0,0.13,-0.13,NO,0.89,0.1,True
NY,2026-05-14,KXHIGHNY-26MAY14-B63.5,61.34,66.3,63.5,64.5,0.03,0.58,-0.55,NO,0.44,0.54,True
NY,2026-05-14,KXHIGHNY-26MAY14-B67.5,61.34,66.3,67.5,68.5,0.018,0.26,-0.242,NO,0.76,0.23,True
NY,2026-05-14,KXHIGHNY-26MAY14-B65.5,61.34,66.3,65.5,66.5,0.064,0.73,-0.666,NO,0.29,-0.3,False
NY,2026-05-15,KXHIGHNY-26MAY15-B65.5,62.26,66.8,65.5,66.5,0.066,0.78,-0.714,NO,0.24,0.75,True
NY,2026-05-15,KXHIGHNY-26MAY15-B69.5,62.26,66.8,69.5,70.5,0.0,0.17,-0.17,NO,0.85,0.14,True
NY,2026-05-17,KXHIGHNY-26MAY17-B83.5,86.71,90.5,83.5,84.5,0.056,0.15,-0.094,NO,0.87,0.12,True
NY,2026-05-17,KXHIGHNY-26MAY17-B87.5,86.71,90.5,87.5,88.5,0.098,0.51,-0.412,NO,0.51,0.47,True
NY,2026-05-17,KXHIGHNY-26MAY17-B89.5,86.71,90.5,89.5,90.5,0.06,0.28,-0.22,NO,0.74,0.25,True
NY,2026-05-18,KXHIGHNY-26MAY18-B81.5,88.8,90.2,81.5,82.5,0.026,0.15,-0.124,NO,0.87,0.12,True
NY,2026-05-18,KXHIGHNY-26MAY18-B83.5,88.8,90.2,83.5,84.5,0.048,0.35,-0.302,NO,0.67,0.31,True
NY,2026-05-19,KXHIGHNY-26MAY19-B93.5,91.58,96.5,93.5,94.5,0.058,0.58,-0.522,NO,0.44,0.54,True
NY,2026-05-19,KXHIGHNY-26MAY19-B95.5,91.58,96.5,95.5,96.5,0.057,0.53,-0.473,NO,0.49,0.49,True
CHI,2026-05-10,KXHIGHCHI-26MAY10-B61.5,64.47,64.7,61.5,62.5,0.098,0.89,-0.792,NO,0.13,0.86,True
CHI,2026-05-10,KXHIGHCHI-26MAY10-B63.5,64.47,64.7,63.5,64.5,0.098,0.47,-0.372,NO,0.55,0.43,True
CHI,2026-05-11,KXHIGHCHI-26MAY11-B57.5,60.4,55.6,57.5,58.5,0.091,0.48,-0.389,NO,0.54,0.44,True
CHI,2026-05-11,KXHIGHCHI-26MAY11-B53.5,60.4,55.6,53.5,54.5,0.017,0.12,-0.103,NO,0.9,0.09,True
CHI,2026-05-12,KXHIGHCHI-26MAY12-B77.5,71.73,73.5,77.5,78.5,0.0,0.42,-0.42,NO,0.6,0.38,True
CHI,2026-05-12,KXHIGHCHI-26MAY12-B75.5,71.73,73.5,75.5,76.5,0.025,0.28,-0.255,NO,0.74,0.25,True
CHI,2026-05-12,KXHIGHCHI-26MAY12-B79.5,71.73,73.5,79.5,80.5,0.0,0.12,-0.12,NO,0.9,0.09,True
CHI,2026-05-12,KXHIGHCHI-26MAY12-B73.5,71.73,73.5,73.5,74.5,0.075,0.78,-0.705,NO,0.24,-0.25,False
CHI,2026-05-13,KXHIGHCHI-26MAY13-B60.5,67.01,66.6,60.5,61.5,0.041,0.42,-0.379,NO,0.6,0.38,True
CHI,2026-05-13,KXHIGHCHI-26MAY13-B64.5,67.01,66.6,64.5,65.5,0.044,0.13,-0.086,NO,0.89,0.1,True
CHI,2026-05-14,KXHIGHCHI-26MAY14-B66.5,64.2,67.2,66.5,67.5,0.074,0.22,-0.146,NO,0.8,-0.81,False
CHI,2026-05-14,KXHIGHCHI-26MAY14-B64.5,64.2,67.2,64.5,65.5,0.068,0.62,-0.552,NO,0.4,0.58,True
CHI,2026-05-14,KXHIGHCHI-26MAY14-B68.5,64.2,67.2,68.5,69.5,0.008,0.2,-0.192,NO,0.82,0.17,True
CHI,2026-05-15,KXHIGHCHI-26MAY15-B75.5,74.38,74.8,75.5,76.5,0.116,0.26,-0.144,NO,0.76,0.23,True
CHI,2026-05-15,KXHIGHCHI-26MAY15-B77.5,74.38,74.8,77.5,78.5,0.025,0.2,-0.175,NO,0.82,0.17,True
CHI,2026-05-15,KXHIGHCHI-26MAY15-B71.5,74.38,74.8,71.5,72.5,0.09,0.27,-0.18,NO,0.75,0.24,True
CHI,2026-05-15,KXHIGHCHI-26MAY15-B73.5,74.38,74.8,73.5,74.5,0.098,0.24,-0.142,NO,0.78,0.21,True
CHI,2026-05-16,KXHIGHCHI-26MAY16-B85.5,80.35,83.2,85.5,86.5,0.0,0.26,-0.26,NO,0.76,0.23,True
CHI,2026-05-16,KXHIGHCHI-26MAY16-B83.5,80.35,83.2,83.5,84.5,0.026,0.4,-0.374,NO,0.62,0.36,True
CHI,2026-05-17,KXHIGHCHI-26MAY17-B84.5,84.98,86.5,84.5,85.5,0.097,0.32,-0.223,NO,0.7,0.29,True
CHI,2026-05-17,KXHIGHCHI-26MAY17-B86.5,84.98,86.5,86.5,87.5,0.076,0.64,-0.564,NO,0.38,-0.4,False
CHI,2026-05-18,KXHIGHCHI-26MAY18-B86.5,82.12,81.0,86.5,87.5,0.005,0.11,-0.105,NO,0.91,0.08,True
CHI,2026-05-18,KXHIGHCHI-26MAY18-B82.5,82.12,81.0,82.5,83.5,0.097,0.24,-0.143,NO,0.78,0.21,True
CHI,2026-05-19,KXHIGHCHI-26MAY19-B80.5,73.92,80.2,80.5,81.5,0.0,0.43,-0.43,NO,0.59,0.39,True
CHI,2026-05-19,KXHIGHCHI-26MAY19-B82.5,73.92,80.2,82.5,83.5,0.0,0.36,-0.36,NO,0.66,0.32,True
CHI,2026-05-19,KXHIGHCHI-26MAY19-B78.5,73.92,80.2,78.5,79.5,0.0,0.73,-0.73,NO,0.29,0.7,True
LAX,2026-05-11,KXHIGHLAX-26MAY11-B75.5,66.6,68.9,75.5,76.5,0.0,0.1,-0.1,NO,0.92,0.07,True
LAX,2026-05-11,KXHIGHLAX-26MAY11-B69.5,66.6,68.9,69.5,70.5,0.054,0.63,-0.576,NO,0.39,0.59,True
LAX,2026-05-12,KXHIGHLAX-26MAY12-B67.5,67.01,65.9,67.5,68.5,0.102,0.61,-0.508,NO,0.41,0.57,True
LAX,2026-05-12,KXHIGHLAX-26MAY12-B65.5,67.01,65.9,65.5,66.5,0.126,0.57,-0.444,NO,0.45,-0.47,False
LAX,2026-05-13,KXHIGHLAX-26MAY13-B63.5,66.82,65.6,63.5,64.5,0.06,0.15,-0.09,NO,0.87,0.12,True
