city,settle_date,market,forecast,actual,lo,hi,p_model,p_market,edge,action,entry_price,won_yes,pnl_per_contract
AUS,2026-05-01,KXHIGHAUS-26MAY01-B67.5,65.3,65.6,67.5,68.5,0.02,0.22,-0.2,NO,0.8,False,0.19
AUS,2026-05-02,KXHIGHAUS-26MAY02-B71.5,73.3,72.4,71.5,72.5,0.27,0.1,0.17,YES,0.12,True,0.87
AUS,2026-05-02,KXHIGHAUS-26MAY02-B75.5,73.3,72.4,75.5,76.5,0.02,0.5,-0.48,NO,0.52,False,0.46
AUS,2026-05-02,KXHIGHAUS-26MAY02-B73.5,73.3,72.4,73.5,74.5,0.088,0.28,-0.192,NO,0.74,False,0.25
AUS,2026-05-03,KXHIGHAUS-26MAY03-B78.5,80.0,76.9,78.5,79.5,0.23,0.6,-0.37,NO,0.42,False,0.56
AUS,2026-05-03,KXHIGHAUS-26MAY03-B82.5,80.0,76.9,82.5,83.5,0.009,0.11,-0.101,NO,0.91,False,0.08
AUS,2026-05-03,KXHIGHAUS-26MAY03-B80.5,80.0,76.9,80.5,81.5,0.07,0.34,-0.27,NO,0.68,False,0.3
AUS,2026-05-04,KXHIGHAUS-26MAY04-B84.5,82.3,79.6,84.5,85.5,0.02,0.63,-0.61,NO,0.39,False,0.59
AUS,2026-05-04,KXHIGHAUS-26MAY04-B86.5,82.3,79.6,86.5,87.5,0.0,0.31,-0.31,NO,0.71,False,0.28
AUS,2026-05-04,KXHIGHAUS-26MAY04-B82.5,82.3,79.6,82.5,83.5,0.088,0.33,-0.242,NO,0.69,False,0.3
AUS,2026-05-05,KXHIGHAUS-26MAY05-B88.5,84.1,84.3,88.5,89.5,0.0,0.39,-0.39,NO,0.63,False,0.35
AUS,2026-05-05,KXHIGHAUS-26MAY05-B90.5,84.1,84.3,90.5,91.5,0.0,0.26,-0.26,NO,0.76,False,0.23
AUS,2026-05-06,KXHIGHAUS-26MAY06-B88.5,77.0,76.2,88.5,89.5,0.0,0.2,-0.2,NO,0.82,False,0.17
AUS,2026-05-06,KXHIGHAUS-26MAY06-B86.5,77.0,76.2,86.5,87.5,0.0,0.39,-0.39,NO,0.63,False,0.35
AUS,2026-05-07,KXHIGHAUS-26MAY07-B74.5,67.9,67.3,74.5,75.5,0.0,0.14,-0.14,NO,0.88,False,0.11
AUS,2026-05-07,KXHIGHAUS-26MAY07-B72.5,67.9,67.3,72.5,73.5,0.0,0.26,-0.26,NO,0.76,False,0.23
AUS,2026-05-07,KXHIGHAUS-26MAY07-B70.5,67.9,67.3,70.5,71.5,0.005,0.25,-0.245,NO,0.77,False,0.22
AUS,2026-05-08,KXHIGHAUS-26MAY08-B76.5,80.2,77.8,76.5,77.5,0.115,0.23,-0.115,NO,0.79,False,0.2
AUS,2026-05-08,KXHIGHAUS-26MAY08-B80.5,80.2,77.8,80.5,81.5,0.074,0.45,-0.376,NO,0.57,False,0.41
AUS,2026-05-09,KXHIGHAUS-26MAY09-B87.5,86.7,87.2,87.5,88.5,0.067,0.2,-0.133,NO,0.82,False,0.17
AUS,2026-05-09,KXHIGHAUS-26MAY09-B89.5,86.7,87.2,89.5,90.5,0.0,0.42,-0.42,NO,0.6,False,0.38
